setup	msprime_seed	slim_burnin_seed	slim_demography_seed	deviating_pop	opt_of_dev_pop	opt_of_p6	opt_of_UK	w	fitness_w_dev_pop	fitness_w_UK	h2	2lm	strong_frac	frac_h2									
236	4290437562	910605002194643	552792739588767	-1	0	0	0	5	5	5	0.5	1	0.05	0.5	I’ve	overwritten	the	burnin	of	159-173	by	mistake	:(
237	4290437562	910605002194643	998945339117199	3	1	0.78	0.42	5	5	5	0.5	1	0.05	0.5	I’ve	overwritten	the	burnin	of	159-173	by	mistake	:(
238	4290437562	910605002194643	822421664372086	4	1	0.22	0.12	5	5	5	0.5	1	0.05	0.5	I’ve	overwritten	the	burnin	of	159-173	by	mistake	:(
239	4290437562	910605002194643	873060667654499	5	1	0	0.46	5	5	5	0.5	1	0.05	0.5	I’ve	overwritten	the	burnin	of	159-173	by	mistake	:(
240	4290437562	910605002194643	836729354225099	-1	0	0	2	5	5	5	0.5	1	0.05	0.5	I’ve	overwritten	the	burnin	of	159-173	by	mistake	:(
241	4290437562	910605002194643	407605805899948	-1	0	2	0.88	5	5	5	0.5	1	0.05	0.5	I’ve	overwritten	the	burnin	of	159-173	by	mistake	:(
242	4290437562	910605002194643	616387669462711	3	1	1	1	5	5	5	0.5	1	0.05	0.5	I’ve	overwritten	the	burnin	of	159-173	by	mistake	:(
243	4290437562	910605002194643	232043973635882	4	1	1	1	5	5	5	0.5	1	0.05	0.5	I’ve	overwritten	the	burnin	of	159-173	by	mistake	:(
244	4290437562	910605002194643	862431772518903	5	1	0	1	5	5	5	0.5	1	0.05	0.5	I’ve	overwritten	the	burnin	of	159-173	by	mistake	:(
245	4290437562	910605002194643	936998508172110	3	1	0	0	5	5	5	0.5	1	0.05	0.5	I’ve	overwritten	the	burnin	of	159-173	by	mistake	:(
246	4290437562	910605002194643	250149381579831	4	1	0	0	5	5	5	0.5	1	0.05	0.5	I’ve	overwritten	the	burnin	of	159-173	by	mistake	:(
247	4290437562	910605002194643	64181807916611	5	1	0	0	5	5	5	0.5	1	0.05	0.5	I’ve	overwritten	the	burnin	of	159-173	by	mistake	:(
248	4290437562	910605002194643	41083379182964	3	1	0.78	2	5	5	5	0.5	1	0.05	0.5	I’ve	overwritten	the	burnin	of	159-173	by	mistake	:(
249	4290437562	910605002194643	414434391306713	4	1	0.22	2	5	5	5	0.5	1	0.05	0.5	I’ve	overwritten	the	burnin	of	159-173	by	mistake	:(
250	4290437562	910605002194643	507417337968946	5	1	0	2	5	5	5	0.5	1	0.05	0.5	I’ve	overwritten	the	burnin	of	159-173	by	mistake	:(
251	1187113369	8510844667907804	5527927395887673	-1	0	0	0	5	5	5	0.5	1	0.05	0.5									
252	1187113369	8510844667907804	9.98945339117199E+015	3	1	0.78	0.42	5	5	5	0.5	1	0.05	0.5									
253	1187113369	8510844667907804	8224216643720865	4	1	0.22	0.12	5	5	5	0.5	1	0.05	0.5									
254	1187113369	8510844667907804	8730606676544994	5	1	0	0.46	5	5	5	0.5	1	0.05	0.5									
255	1187113369	8510844667907804	8367293542250991	-1	0	0	2	5	5	5	0.5	1	0.05	0.5									
256	1187113369	8510844667907804	4076058058999479	-1	0	2	0.88	5	5	5	0.5	1	0.05	0.5									
257	1187113369	8510844667907804	6163876694627106	3	1	1	1	5	5	5	0.5	1	0.05	0.5									
258	1187113369	8510844667907804	2320439736358822	4	1	1	1	5	5	5	0.5	1	0.05	0.5									
259	1187113369	8510844667907804	8624317725189030	5	1	0	1	5	5	5	0.5	1	0.05	0.5									
260	1187113369	8510844667907804	9.3699850817211E+015	3	1	0	0	5	5	5	0.5	1	0.05	0.5									
261	1187113369	8510844667907804	2501493815798312	4	1	0	0	5	5	5	0.5	1	0.05	0.5									
262	1187113369	8510844667907804	641818079166114	5	1	0	0	5	5	5	0.5	1	0.05	0.5									
263	1187113369	8510844667907804	410833791829646	3	1	0.78	2	5	5	5	0.5	1	0.05	0.5									
